"","id","quality","severity","patch","week","varability"
"817",37,"good","slowdrying","fastincrease",14,0
"818",38,"good","slowdrying","fastincrease",14,0
"819",39,"good","slowdrying","fastincrease",14,11
"820",40,"good","slowdrying","fastincrease",14,38
"821",41,"good","slowdrying","fastincrease",14,0
"822",42,"good","slowdrying","fastincrease",14,0
"823",43,"good","slowdrying","slowincrease",14,33
"824",44,"good","slowdrying","slowincrease",14,15
"825",45,"good","slowdrying","slowincrease",14,6
"826",46,"good","slowdrying","slowincrease",14,0
"827",47,"good","slowdrying","slowincrease",14,0
"828",48,"good","slowdrying","slowincrease",14,0
"829",49,"good","fastdrying","fastincrease",14,0
"830",50,"good","fastdrying","fastincrease",14,0
"831",51,"good","fastdrying","fastincrease",14,0
"832",52,"good","fastdrying","fastincrease",14,0
"833",53,"good","fastdrying","fastincrease",14,0
"834",54,"good","fastdrying","fastincrease",14,0
"835",55,"good","fastdrying","slowincrease",14,0
"836",56,"good","fastdrying","slowincrease",14,0
"837",57,"good","fastdrying","slowincrease",14,0
"838",58,"good","fastdrying","slowincrease",14,0
"839",59,"good","fastdrying","slowincrease",14,0
"840",60,"good","fastdrying","slowincrease",14,0
"847",7,"poor","slowdrying","fastincrease",15,0
"848",8,"poor","slowdrying","fastincrease",15,0
"849",9,"poor","slowdrying","fastincrease",15,0
"850",10,"poor","slowdrying","fastincrease",15,0
"851",11,"poor","slowdrying","fastincrease",15,0
"852",12,"poor","slowdrying","fastincrease",15,0
"853",13,"poor","slowdrying","slowincrease",15,0
"854",14,"poor","slowdrying","slowincrease",15,0
"855",15,"poor","slowdrying","slowincrease",15,0
"856",16,"poor","slowdrying","slowincrease",15,0
"857",17,"poor","slowdrying","slowincrease",15,0
"858",18,"poor","slowdrying","slowincrease",15,0
"859",19,"poor","fastdrying","fastincrease",15,0
"860",20,"poor","fastdrying","fastincrease",15,0
"861",21,"poor","fastdrying","fastincrease",15,0
"862",22,"poor","fastdrying","fastincrease",15,0
"863",23,"poor","fastdrying","fastincrease",15,0
"864",24,"poor","fastdrying","fastincrease",15,0
"865",25,"poor","fastdrying","slowincrease",15,0
"866",26,"poor","fastdrying","slowincrease",15,0
"867",27,"poor","fastdrying","slowincrease",15,0
"868",28,"poor","fastdrying","slowincrease",15,0
"869",29,"poor","fastdrying","slowincrease",15,0
"870",30,"poor","fastdrying","slowincrease",15,0
"877",37,"good","slowdrying","fastincrease",15,0
"878",38,"good","slowdrying","fastincrease",15,0
"879",39,"good","slowdrying","fastincrease",15,5
"880",40,"good","slowdrying","fastincrease",15,25
"881",41,"good","slowdrying","fastincrease",15,0
"882",42,"good","slowdrying","fastincrease",15,0
"883",43,"good","slowdrying","slowincrease",15,0
"884",44,"good","slowdrying","slowincrease",15,30
"885",45,"good","slowdrying","slowincrease",15,6
"886",46,"good","slowdrying","slowincrease",15,0
"887",47,"good","slowdrying","slowincrease",15,0
"888",48,"good","slowdrying","slowincrease",15,0
"889",49,"good","fastdrying","fastincrease",15,0
"890",50,"good","fastdrying","fastincrease",15,0
